strate_CP;sexe;IPS_CP;strate_CE1;CPFCOMO_Debut;CPFCOPH_Debut;CPFCOTE_Debut;CPFPHPH_Debut;CPFPHSY_Debut;CPFRLGP_Debut;CPFRLLE_Debut;CPFRLSI_Debut;CPFRLSY_Debut;CPMETNOCOEN_Debut;CPMETNOCORN_Debut;CPMETNOPR_Debut;CPMUTNOCA_Debut;CPMUTNOGN_Debut;CPMUTNOLN_Debut;CPFCOPH_Mi;CPFLILVMO_Mi;CPFLILVMOINV_Mi;CPFLILVTE_Mi;CPFLOE_Mi;CPFLOR_Mi;CPFPHPH_Mi;CPFRLGP_Mi;CPMNOCACOGN_Mi;CPMNOCACOLN_Mi;CPMNOCANECLAD_Mi;CPMNOCANECLSO_Mi;CPMNOCANOEN_Mi;CPMNOCARP_Mi;CE1COMO;CE1COPH;CE1FLOE;CE1FLOR;CE1LICP;CE1LICTEN;CE1LILVMO;CE1LILVTE;CE1MEGAS;CE1MNOCACOLN;CE1MNOCANECLAD;CE1MNOCANECLSO;CE1MNOCANECM;CE1MNOCANOEN;CE1MNOCANORC;CE1MNOCANORP;CE1MNOCARP;IPS_CE1;birthday;CodeEleve;CodeEtablissementCP;CodeEtablissementCE1;CodeClasseCP;CodeClasseCE1
Prive;Garcon;113.4;Prive;14;13;17;13;14;9;7;4;18;11;10;2;8;38;6;14;48.6486486486487;54.5454545454545;116;10;8;12;10;40;9;7;7;10;4;14;15;12;11;7;8;57;82;7;12;5;3;10;10;10;14;4;115;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;126.4;Public Hors EP;12;10;8;7;11;4;4;3;17;11;10;0;8;15;0;7;12;6;10;8;6;5;9;32;2;7;5;8;2;13;11;8;10;7;8;32;31;6;6;5;4;6;10;9;13;2;127.9;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;102.1;Public Hors EP;14;14;16;9;12;8;5;4;10;11;10;4;8;25;4.5;14;69.2307692307692;40.5;105;10;8;10;10;40;5;6;5;10;4;15;15;12;10;10;8;72;111.272727272728;8;10.5;7;7;10;10;10;9;6;98.9;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;76.2;REP;8;13;11;6;8;4;3;3;8;10;10;4;8;13;4;12;;;;7;4;5;10;39;5.5;4;5;10;4;8;15;9;5;9;8;43;42;6;6.5;2;3;4;10;10;7;3;74.8;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;78.6;REP+;8;11;15;10;13;8;6;3;6;10;10;4;8;12;2;12;19;19;16;7;5;8;7;;3.5;7;;10;0;10;13;10;6;6;1;26;20;6;2;1;0;7;9;10;11;2;78.5;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;99;Public Hors EP;15;11;13;14;14;10;7;3;23;11;10;5;8;21;5.5;11;13;14;41.4285714285714;9;7;10;10;38;7.5;7;7;10;3;15;14;11;11;10;6;38;30;6;2;4;0;8;8;9;10;6;98.2;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;101.9;Public Hors EP;12;10;12;8;10;4;2;3;7;11;10;3;7;11;1.5;14;37.5;32.2222222222222;40;8;7;8;10;40;4.5;7;7;10;4;15;14;12;10;9;7;39;36;7;4.5;2;2;6;9;7;8;2;106;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;103.4;Public Hors EP;15;14;18;12;11;7;7;4;9;10;10;5;8;23;1;14;16;16;17;3;8;8;5;40;8.5;5;6;6;5;15;12;12;5;8;7;40;39;7;10;6;4;8;5;8;11;4;100.7;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;64.7;REP;5;1;1;4;7;3;0;0;13;0;2;1;0;1;0;4;1;2;1;1;0;9;7;6;0.5;1;0;5;1;6;5;0;0;0;3;1;0;1;1;1;0;3;0;2;2;1;64.6;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;92.8;Public Hors EP;14;14;15;15;15;10;7;2;21;10;10;5;8;28;6;13;112.5;100;88.4210526315789;10;8;12;10;40;9;7;7;10;5;15;15;12;12;9;7;109.090909090909;174.857142857141;6;13;7;8;10;10;10;14;6;101.4;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;108.3;Public Hors EP;15;13;15;15;14;10;6;4;13;11;10;6;8;30;5;14;26;24;26;10;7;12;10;40;9;7;7;10;4;15;15;11;12;10;7;50;56;7;12.5;6;8;10;10;10;16;6;108.2;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;106.3;Public Hors EP;13;13;16;13;15;10;5;4;16;11;10;6;6;33;6;14;27;28;24;9;7;12;10;40;9.5;7;7;10;5;15;15;12;12;7;8;68.2352941176471;72;8;9.5;7;7;7;10;10;16;6;107;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107.1;Public Hors EP;7;14;9;4;9;3;2;2;15;9;10;4;6;14;2;10;12;16;13;5;5;5;7;39;5;4;1;5;2;12;15;9;7;8;6;48;51;5;3.5;2;4;8;4;3;11;4;109.2;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;96;Public Hors EP;;10;6;12;;8;5;;;11;10;3;8;26;4;12;34.6666666666667;;31.2;9;5;11;10;37;2.5;7;4;10;5;15;15;11;9;8;7;62.0689655172414;70;6;9;4;0;7;10;10;9;3;95.5;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;76.2;REP;13;13;14;8;15;3;4;2;22;11;10;6;8;32;5;11;15;9;14;6;7;;;40;10;7;7;10;2;14;13;10;6;8;7;50;54;3;3.5;7;7;7;8;10;7;6;76;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;74.2;REP;13;12;17;10;13;7;3;3;13;11;10;6;8;28;4;12;20;19;16;10;6;7;10;40;9;6;6;10;5;13;12;12;10;8;7;45;44;7;13;6;8;9;10;9;14;5;73.1;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;70.7;REP;15;14;17;12;15;10;7;4;15;9;10;4;8;23;3;13;78.2608695652174;48.6486486486487;87;10;7;9;10;40;7;7;7;10;3;15;14;12;11;9;7;72;101;8;8;7;8;9;10;10;11;5;72.7;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;112.1;Public Hors EP;7;11;7;9;10;5;6;4;7;11;10;3;8;2;0;10;9;8;8;3;3;8;9;2;2.5;4;4;8;0;11;12;3;4;8;0;25;20;5;5;3;4;7;4;6;7;2;108.6;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;97.2;Prive;10;11;10;7;8;6;3;1;18;9;10;5;7;2;1;13;19;14;14;8;5;7;10;34;1;4;3;8;3;13;13;10;9;9;8;40;52;7;2;2;0;8;9;9;11;4;99.4;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;95.5;Public Hors EP;14;14;16;9;15;10;7;3;15;10;10;5;8;15;3;14;10;4;10;6;5;8;10;40;2.5;6;7;9;2;15;15;10;6;8;6;30;35;7;11;2;4;9;10;9;13;3;96.5;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;130;Public Hors EP;8;11;10;0;2;1;6;4;10;11;10;5;8;31;6;13;26.6666666666667;11;20;5;2;3;9;40;7;6;7;10;3;14;15;6;10;10;5;56;55;6;6.5;7;3;8;9;9;10;6;128.1;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;;Public Hors EP;7;12;12;5;8;10;4;4;6;11;9;2;8;2;0.5;11;14;16;26;7;5;5;9;40;7;3;0;9;2;12;15;6;7;9;5;50;50;6;8;3;3;9;9;9;5;2;;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;62;REP+;10;14;10;10;12;8;6;4;8;10;10;2;8;14;5;14;27;23;38.6666666666667;10;7;12;10;39;4.5;6;7;10;5;14;15;9;5;8;5;44;67;3;6;3;3;10;10;10;9;3;61.7;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;91.1;REP;10;11;7;3;4;2;4;1;7;10;9;3;8;26;4.5;;5;3;2;1;;2;7;;1.5;5;;5;1;8;11;3;0;2;1;2;0;8;10;5;5;7;4;5;4;2;91.9;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;73.7;REP;9;12;12;2;7;3;4;4;8;11;10;3;8;20;3.5;10;36.25;16;30;8;7;5;10;38;3.5;7;5;10;4;15;14;11;9;4;6;47;36;6;7;3;4;8;7;9;4;4;73.9;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;113.7;Public Hors EP;13;13;12;11;10;10;6;4;12;11;10;3;8;15;3;14;18;26;36.25;9;8;12;10;40;7.5;7;7;10;2;15;14;12;11;9;6;32;25;8;9.5;4;4;10;10;10;9;4;100.7;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;126.6;Prive;12;13;17;9;15;10;7;4;22;11;10;3;8;31;0.5;11;25;19;24;9;4;7;10;40;5.5;6;3;10;5;14;13;10;11;8;6;36;52;4;6.5;3;3;9;6;7;11;6;125.1;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;113.1;Public Hors EP;10;10;7;9;9;9;4;3;11;10;10;2;7;2;0;10;20;12;30.5263157894737;9;5;12;8;29;1;5;2;7;1;13;13;12;7;8;6;72.7659574468085;87;5;4;2;0;10;7;7;5;1;111.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;92.7;Public Hors EP;10;12;9;10;11;6;5;3;11;10;10;3;6;19;1;9;14;14;17;8;6;9;10;39;7;6;2;10;4;13;9;8;4;7;5;17;8;6;1.5;3;0;4;8;8;7;6;93.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;65.1;Public Hors EP;13;13;16;11;13;8;6;4;16;11;10;2;8;35;4;14;17;11;18;9;8;12;10;40;6.5;5;6;10;5;13;13;12;11;0;8;21;13;7;8;3;3;9;10;10;10;4;66.6;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;73.5;Public Hors EP;10;10;8;11;13;6;4;3;9;11;10;3;8;21;4;13;18;15;20;9;8;11;10;34;5;7;4;10;1;13;13;11;3;6;4;24;19;6;1;2;3;9;7;7;8;4;74;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;93.3;Public Hors EP;12;14;18;10;10;6;5;3;13;11;10;6;8;15;3;14;10;13;10;8;4;9;8;38;5;7;7;8;4;14;14;10;5;6;2;24;9;7;7.5;2;0;9;7;7;5;5;92.6;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;100.2;Public Hors EP;15;12;16;15;15;10;7;4;23;11;10;6;8;60;6;13;22;25;23;9;7;12;10;38;10;7;7;10;5;15;15;12;12;8;8;41;55;6;14.5;7;5;10;10;10;16;6;102.8;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;103.3;Public Hors EP;15;14;15;12;13;6;6;4;24;11;10;3;8;51;1.5;14;17;14;14;8;5;12;10;40;4;7;6;10;2;15;15;11;12;10;8;50;55;5;8.5;4;3;9;9;10;15;4;98.3;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;149;Prive;15;14;16;12;12;10;7;3;5;11;10;6;8;20;5;13;68.1818181818182;52.9411764705882;108.75;10;8;12;10;40;7;7;6;10;3;14;14;12;12;10;7;65.4545454545455;111.272727272728;7;8.5;5;6;10;10;10;10;4;146.6;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;126.7;Public Hors EP;14;13;15;10;6;5;5;2;21;9;8;5;5;8;2;10;11;8;8;9;0;3;9;37;3;7;0;4;2;11;13;9;2;7;5;28;26;7;4.5;0;0;8;5;8;9;1;125.6;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;139.4;Prive;3;10;8;9;8;4;3;4;5;11;10;1;7;6;0.5;12;14;8;20;8;7;4;10;37;2.5;0;0;1;2;12;13;9;6;9;8;42;46;5;2.5;3;0;4;6;10;4;3;139.2;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;115.8;Public Hors EP;8;10;8;7;9;10;7;4;7;11;10;6;8;24;3.5;12;31.5789473684211;32.1428571428571;62.1428571428571;10;7;12;10;39;4;5;7;10;4;10;13;12;9;8;3;67.9245283018868;80;8;11.5;7;6;6;9;9;7;5;112;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;105.1;Public Hors EP;15;13;15;15;15;10;6;4;18;11;10;4;8;31;4.5;13;35;36;54.375;9;7;12;10;40;7;7;6;10;5;15;15;12;9;9;8;47;65;7;14;6;8;10;10;10;16;6;102.9;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;110.6;Public Hors EP;14;12;17;15;15;8;7;4;24;11;10;5;7;38;6;13;69.2307692307692;43.9024390243902;72.5;10;5;12;10;40;10;7;7;10;5;15;15;12;11;10;8;109.090909090909;174.857142857141;7;13.5;7;8;9;10;10;16;6;108.9;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;106.6;Public Hors EP;14;14;15;15;15;10;7;4;24;11;10;6;8;26;4.5;14;56.25;33.3333333333333;69.6;10;8;12;10;40;5.5;7;7;10;5;15;15;12;12;10;7;53;65;7;10;6;5;10;10;10;9;6;105.4;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;111.5;Public Hors EP;15;14;18;11;15;10;7;4;22;11;10;6;8;28;3.5;13;22;23;24;9;5;10;10;40;7;7;7;10;5;14;15;11;12;9;7;43;42;8;13.5;7;7;9;10;10;12;5;112.5;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;111;Prive;7;10;4;4;6;1;0;0;2;4;8;0;1;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;2;15;15;12;12;10;8;35;30;7;15;7;8;10;10;10;16;6;110.5;2011-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;151.6;Prive;14;13;11;14;15;10;7;4;12;11;10;6;8;21;3;14;37.5;43.9024390243902;87;;8;12;;39;10;7;7;10;5;14;14;12;12;9;8;58;105.517241379311;5;5.5;6;7;10;10;10;8;6;152.9;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;99.1;Public Hors EP;10;13;14;15;13;9;4;4;11;11;8;2;8;9;2;11;21;20;15;9;8;7;10;37;7;7;0;10;2;10;14;11;10;8;6;41;39;4;1.5;2;0;5;9;10;5;1;99.2;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;85.3;Public Hors EP;14;14;17;14;14;8;5;3;23;10;10;4;8;28;4;14;27.2727272727273;17;34.8;9;8;12;10;40;9;7;6;10;5;14;13;8;10;9;7;37;43;7;4.5;4;6;10;10;10;16;5;84.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;95.8;Public Hors EP;13;14;15;6;15;7;7;4;5;11;10;5;8;12;3;13;19;13;12;9;8;9;10;40;9;6;0;10;2;14;15;11;7;10;8;34;37;6;3.5;2;2;10;10;10;8;6;97.8;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;;Public Hors EP;10;12;15;13;12;7;5;2;20;11;10;1;8;45;4;13;24;24;27;9;6;9;9;40;9;7;1;10;1;13;14;8;8;7;8;28;23;5;4.5;1;0;9;10;10;9;5;;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;92.4;Public Hors EP;8;13;15;7;13;6;3;3;10;11;10;5;8;23;4;12;36.25;31.6363636363636;27;10;8;12;10;40;5;7;6;10;2;13;13;10;11;8;4;32;20;6;7.5;6;3;9;8;8;4;5;92;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;136.6;Prive;15;13;17;5;15;9;5;4;15;11;10;6;8;20;5;13;28;17;20;9;8;8;10;40;6;7;7;9;5;15;13;10;10;9;8;60;84;8;10;7;5;10;10;10;16;6;136.9;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;92;Public Hors EP;14;12;13;11;13;9;5;2;18;9;10;2;8;23;6;13;66.9230769230769;51.4285714285714;108.75;9;8;8;10;40;9;7;1;10;4;14;15;12;11;10;8;90;55;6;8;6;8;10;10;10;3;5;90;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;105.2;Public Hors EP;13;13;13;9;12;9;2;3;6;10;9;5;8;10;3.5;13;13;7;0;6;5;8;9;40;3;7;1;8;3;13;15;10;9;3;6;20;14;7;6;3;0;8;9;9;5;2;109.7;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;91.3;Public Hors EP;12;14;13;7;14;8;6;4;9;11;10;2;8;15;6;14;24;23;32.2222222222222;9;8;10;10;20;3.5;7;7;10;5;15;15;12;10;10;8;70.5882352941177;75;7;7.5;6;4;9;10;10;9;5;91.1;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;89.4;REP;13;12;15;14;14;5;5;3;21;11;10;6;8;30;5;13;78.2608695652174;37.6744186046512;108.75;8;7;12;10;40;8;7;7;10;4;14;14;10;12;9;8;81.8181818181818;110.181818181819;;8.5;6;6;10;10;10;14;3;91.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;117.8;Public Hors EP;12;14;13;3;7;6;5;3;7;11;10;3;8;20;6;;29;17;16;8;;5;10;;;;;;;15;15;7;12;8;8;66.6666666666667;57;6;4;3;2;9;10;10;8;1;116.2;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107.5;Public Hors EP;13;13;14;14;15;9;6;4;15;11;10;6;8;59;5;12;18;18;23;7;7;11;8;40;6;7;6;10;4;14;12;9;11;8;6;45;43;7;12;6;4;10;8;8;16;6;106.3;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;73.4;REP+;15;13;14;10;15;9;4;4;14;11;10;5;8;27;3;11;60;35.2941176470588;52.5;10;8;12;10;40;6.5;7;7;10;5;15;13;12;9;10;8;70.5882352941177;84;8;5.5;7;0;10;10;9;11;4;72.4;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;83.2;Public Hors EP;15;14;12;12;14;10;5;4;23;11;10;6;8;32;1;14;23;19;28;9;8;12;10;40;10;7;6;10;5;14;15;12;11;8;6;35;41;8;15;7;8;10;10;10;16;6;82.3;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;81.2;REP;8;6;8;5;9;2;2;1;9;4;10;3;3;16;0.5;;4;9;;4;;3;6;;;;;;;11;13;1;1;4;2;10;4;4;4.5;2;0;6;0;1;9;1;80.4;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;99.6;Public Hors EP;12;13;11;6;14;9;2;3;20;11;9;5;8;27;5;11;25.2;24.4444444444444;36;9;7;12;10;40;6;7;7;10;5;13;15;11;12;9;6;59;88;4;3;3;3;10;9;9;13;5;101.6;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;127.5;Public Hors EP;14;14;14;12;12;10;7;4;24;11;10;4;8;25;5;0;24;25;43.5;10;0;5;10;;5;7;;10;2;13;14;11;11;10;8;62.0689655172414;71;7;6.5;6;4;10;10;10;5;5;127.4;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;111.1;Public Hors EP;13;13;13;10;14;10;4;4;24;11;10;3;8;8;4;12;26.6666666666667;27.3913043478261;60;8;6;6;10;40;3;6;7;10;4;15;13;11;11;9;8;60;66;6;9;4;5;10;9;10;11;3;110.1;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;87.2;REP;14;;7;6;15;8;7;4;21;11;10;5;8;30;6;13;58.0645161290323;48.6486486486487;52.7272727272727;10;7;10;10;40;6;7;7;10;5;15;14;12;12;9;8;58;103.44827586207;6;11.5;7;7;10;10;10;0;4;84.8;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;112.4;Prive;11;13;15;3;8;7;5;3;23;11;10;3;8;9;2.5;12;;;24;;5;6;;36;2;;5;;2;15;15;9;5;9;6;36;37;7;8;4;5;10;10;9;11;4;114.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;104.2;Public Hors EP;10;10;7;9;10;8;0;4;5;9;10;4;8;17;2;11;24;24;22;9;7;12;10;40;7;7;4;10;4;11;12;2;9;8;4;50;40;3;6.5;3;1;9;10;6;7;3;104.2;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;107.8;Public Hors EP;11;11;12;6;11;8;6;4;24;11;10;6;8;25;4;11;27;25;44.6153846153846;10;8;8;10;33;4.5;7;7;10;3;11;15;11;8;9;6;55;69;6;2.5;7;0;10;8;9;10;3;108.2;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;140.6;Public Hors EP;14;12;11;11;12;10;7;4;12;11;10;5;7;21;5;13;48.6486486486487;31.1111111111111;52.7272727272727;10;8;12;10;37;8;4;7;7;4;15;15;12;11;10;6;69.7959183673469;66;6;13.5;7;6;9;10;9;14;6;139.4;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;108.1;Prive;12;14;16;14;13;10;6;4;24;11;10;6;8;42;3;13;48.6486486486487;21;75.6521739130435;10;8;12;10;40;9;7;7;10;5;14;15;12;12;10;6;61.0169491525424;90;7;11;7;6;10;10;10;15;6;106.1;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;115.5;Public Hors EP;13;14;15;13;13;8;5;4;11;11;10;6;8;16;3.5;14;24;30;30;8;8;11;10;39;6;7;7;10;4;14;15;12;11;10;8;38;36;7;4;6;8;10;10;10;6;4;116.4;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;136.1;Public Hors EP;6;10;7;6;9;6;3;2;22;11;10;1;8;2;2.5;12;22;24;16;8;7;12;10;29;5.5;3;1;10;3;11;12;11;12;4;6;61.0344827586207;63;3;9.5;7;2;10;10;10;15;6;134.9;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Garcon;63.1;REP+;7;13;11;6;10;8;6;4;11;11;10;4;8;21;6;12;31.0714285714286;62.6086956521739;42.8571428571429;10;7;9;10;40;8;6;6;9;1;11;11;12;10;6;6;45;61;6;12;7;6;10;10;9;10;3;63.5;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
